customer_key,customer_id,full_name,email,primera_compra,ultima_compra,fecha_referencia,numero_compras,unidades_compradas,unidades_devueltas,ingresos_brutos,importe_devuelto,ingresos_netos,margen_neto_estimado,ticket_medio,antiguedad_dias,recencia_dias,frecuencia_mensual,frecuencia_anual,tasa_devolucion_importe,tasa_devolucion_unidades,margen_neto_pct,cltv_historico_ingresos,cltv_historico_margen,cltv_estimado_12m_ingresos,cltv_estimado_12m_margen,lineas_coste_imputado,churn_risk_score,churn_risk_level,recommended_action,r_score,f_score,m_score,rfm_score,rfm_code,segmento_rfm
5738,5740,Arán Adán Bustillo,arán.adán_2988@example.com,2025-09-20,2025-09-20,2025-12-30,1,1,0,89.99,0.00,89.99,36.00,89.99,101,101,0.3014,1.0000,0.0000,0.0000,0.4000,89.99,36.00,325.43,130.19,0,21,Bajo,Mantener seguimiento comercial,4,2,2,8,422,Clientes medios
5739,5741,Adriano Cuadrado Aguirre,adriano.cuadrado_2989@example.com,2024-11-05,2024-11-05,2025-12-30,1,3,0,419.97,0.00,419.97,168.00,419.97,420,420,0.0725,0.8696,0.0000,0.0000,0.4000,419.97,168.00,365.22,146.10,0,67,Alto,Campana de reactivacion personalizada,3,5,5,13,355,Alto valor
5740,5742,Genoveva Ariza Echevarría,genoveva.ariza_2990@example.com,2023-07-26,2023-07-26,2025-12-30,1,1,0,25.99,0.00,25.99,10.40,25.99,888,888,0.0343,0.4113,0.0000,0.0000,0.4002,25.99,10.40,10.69,4.28,0,60,Alto,Mantener seguimiento comercial,2,1,1,4,211,Clientes dormidos
5741,5743,Ernesto Arce Avilés,ernesto.arce_2991@example.com,2023-07-30,2023-07-30,2025-12-30,1,1,0,49.99,0.00,49.99,20.00,49.99,884,884,0.0344,0.4132,0.0000,0.0000,0.4001,49.99,20.00,20.65,8.26,0,60,Alto,Mantener seguimiento comercial,2,2,2,6,222,Clientes dormidos
5742,5744,Eulalia Echevarría Cañete,eulalia.echevarría_2992@example.com,2025-09-03,2025-09-03,2025-12-30,1,1,0,79.99,0.00,79.99,32.00,79.99,118,118,0.2579,1.0000,0.0000,0.0000,0.4001,79.99,32.00,247.60,99.05,0,21,Bajo,Mantener seguimiento comercial,4,2,2,8,422,Clientes medios
5743,5745,Cloe Arcos Alcántara,cloe.arcos_2993@example.com,2021-01-10,2021-01-10,2025-12-30,1,2,0,199.98,0.00,199.98,80.00,199.98,1815,1815,0.0168,0.2012,0.0000,0.0000,0.4000,199.98,80.00,40.24,16.10,0,68,Alto,Campana de reactivacion personalizada,1,4,4,9,144,Valiosos en riesgo
5744,5746,Ariadna Astorga Calatayud,ariadna.astorga_2994@example.com,2023-08-11,2023-08-11,2025-12-30,1,1,0,79.99,0.00,79.99,32.00,79.99,872,872,0.0349,0.4189,0.0000,0.0000,0.4001,79.99,32.00,33.50,13.40,0,60,Alto,Mantener seguimiento comercial,3,2,2,7,322,Clientes medios
5745,5747,Eneko Espinosa Benavente,eneko.espinosa_2995@example.com,2022-04-22,2022-04-22,2025-12-30,1,1,0,119.99,0.00,119.99,48.00,119.99,1348,1348,0.0226,0.2710,0.0000,0.0000,0.4000,119.99,48.00,32.51,13.01,0,60,Alto,Mantener seguimiento comercial,1,3,3,7,133,Clientes medios
5746,5748,Guadalupe Almeida Ballester,guadalupe.almeida_2996@example.com,2023-08-03,2023-08-03,2025-12-30,1,1,0,34.99,0.00,34.99,14.00,34.99,880,880,0.0346,0.4151,0.0000,0.0000,0.4001,34.99,14.00,14.52,5.81,0,60,Alto,Mantener seguimiento comercial,2,1,1,4,211,Clientes dormidos
5747,5749,Gaspar Alcaraz Chacón,gaspar.alcaraz_2997@example.com,2022-04-12,2022-04-12,2025-12-30,1,1,1,59.99,59.99,0.00,0.00,59.99,1358,1358,0.0224,0.2690,1.0000,1.0000,,0.00,0.00,16.14,0.00,0,80,Critico,Revisar experiencia y causas de devolucion,1,1,1,3,111,Clientes dormidos
